Textbox4,Textbox7,Textbox8,Textbox10,Textbox11,Textbox14,Textbox13,Textbox20,Textbox21,Textbox23,Textbox24,Textbox26,Textbox27,Textbox30,Textbox29,Textbox34,Textbox36,Textbox39,Textbox37
"Monday, May 22, 2017",*All Records,0,*All Records,0,0,*All Records,*All Records,0,*All Records,0,*All Records,0,0,*All Records,*All Records,0,0,*All Records

Textbox594,Textbox124,Textbox600,shipto_cust_numb1,s_shipto_name,job_numb,order_qty11,line_numb,fg_item_numb,fg_item_desc,ship_line_numb1,DATE_WANTED,onhandquantity,order_qty1,unit_cost,shipto_numb,shipto_numb1,shipto_phone,unit_cost1,DATE_SHIP1,Textbox115,Textbox117,Textbox119,Textbox268,Textbox270,Textbox272
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,006,BHS0027652  ,CHANGEABLE VISTA FRAME        ,001,6/8/2016,0,9,"$1,121.76",9,"$1,121.76",0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,007,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/8/2016,0,9,$108.00,9,$108.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,       9,004,BHS0025639  ,VINYL LETTERING & LOGO        ,001,6/3/2016,0,9,$957.69,9,$957.69,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,       9,005,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/3/2016,0,9,$675.00,9,$675.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,      45,001,BHS0025641  ,CHANGEABLE VISTA FRAME        ,001,6/3/2016,0,45,"$1,725.30",45,"$1,725.30",0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,      45,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/3/2016,0,45,$540.00,45,$540.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,642250,       1,001,BHS0029564  ,PRIVACY GLAZE WINDOW FILM     ,001,1/16/2017,0,1,"$2,079.41",1,"$2,079.41",0,$0.00,,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,642250,       1,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/16/2017,0,1,$600.00,1,$600.00,0,$0.00,,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,642437,       1,001,BHS0029913  ,CHANGEABLE ACRYLIC  OPT 1     ,001,1/26/2017,0,1,$235.60,1,$235.60,0,$0.00,,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01577,CENSEO                   ,Margarita      Moylan         ,00000,AB INSTALLATION          ,642216,       1,001,CNO0029670  ,PRIVACY BANDS                 ,001,12/16/2016,3,1,"$2,530.61",1,"$2,530.61",0,$0.00,,"$6,930.61","$6,930.61",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01577,CENSEO                   ,Margarita      Moylan         ,00000,AB INSTALLATION          ,642216,       1,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/16/2016,0,1,"$4,400.00",1,"$4,400.00",0,$0.00,,"$6,930.61","$6,930.61",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01400,CENTER FOR THE HOMELESS  ,Kristel        Pressinell     ,00000,CENTER FOR THE HOMELESS  ,642490,       6,001,UND50-002   ,NAME PLATE 2X10               ,001,1/20/2017,0,6,$98.58,6,$98.58,0,$0.00,,$98.58,$98.58,$0.00,"$874,279.95","$771,364.11","$102,915.84"
01578,CITY OF KENDALLVILLE     ,Clarissa       Schmidt        ,00000,CITY OF KENDALLVILLE     ,642442,       1,001,CKE0029685  ,ADA BUILDING SIGNAGE          ,001,2/6/2017,0,1,"$1,799.80",1,"$1,799.80",0,$0.00,,"$4,975.80","$4,975.80",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01578,CITY OF KENDALLVILLE     ,Clarissa       Schmidt        ,00000,CITY OF KENDALLVILLE     ,642442,       1,002,CKE0029695  ,CUT VINYL LETTERING           ,001,2/6/2017,0,1,$655.23,1,$655.23,0,$0.00,,"$4,975.80","$4,975.80",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01578,CITY OF KENDALLVILLE     ,Clarissa       Schmidt        ,00000,CITY OF KENDALLVILLE     ,642442,       1,003,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,2/6/2017,0,1,$400.00,1,$400.00,0,$0.00,,"$4,975.80","$4,975.80",$0.00,"$874,279.95","$771,364.11","$102,915.84"
